ChEMBL ID,standard_value
CHEMBL480,398.11
CHEMBL178459,210.0
CHEMBL3545157,60.0
CHEMBL297453,730.0
CHEMBL4303595,40.0
CHEMBL444186,3190.0
CHEMBL55400,2700.0
CHEMBL1886408,200.0
CHEMBL505670,72600.0
CHEMBL460499,5000.0
CHEMBL1271993,450.0
CHEMBL3665060,5.0
CHEMBL1096979,2400.0
CHEMBL164,2000.0
CHEMBL1422849,39390.0
CHEMBL284861,2000.0
CHEMBL286080,190.0
CHEMBL3963349,130.0
CHEMBL480,398.11
CHEMBL3797437,360.0
CHEMBL289356,190000.0
CHEMBL1725120,4100.0
CHEMBL1356238,30260.0
CHEMBL105712,50000.0
CHEMBL508112,50000.0
CHEMBL1397952,270.0
CHEMBL192627,22400.0
CHEMBL243652,55800.0
CHEMBL259018,1000.0
CHEMBL1271764,600.0
CHEMBL449298,3000.0
CHEMBL566136,750.0
CHEMBL1608472,50000.0
CHEMBL60718,3300.0
CHEMBL1917204,30.1
CHEMBL226652,2360.0
CHEMBL119171,34008.0
CHEMBL66953,2100.0
CHEMBL4303154,3380.0
CHEMBL4303503,2570.0
CHEMBL4303702,210.0
CHEMBL2368547,68200.0
CHEMBL1200930,1500.0
CHEMBL1475252,10000.0
CHEMBL271023,1120.0
CHEMBL406050,12300.0
CHEMBL1255778,6309.57
CHEMBL1201236,1000000.0
CHEMBL388676,16000.0
CHEMBL52,400.0
CHEMBL505308,2630.0
CHEMBL2354773,1740.0
CHEMBL4303376,1870.0
CHEMBL28,100000.0
CHEMBL3348861,633900.0
CHEMBL1917204,30.1
CHEMBL488755,33.0
CHEMBL1256915,1520.0
CHEMBL3545085,50.0
CHEMBL403183,3000.0
CHEMBL3392049,2460.0
CHEMBL3747259,3420.0
CHEMBL324842,9000.0
CHEMBL2097077,240.0
CHEMBL1380480,66000.0
CHEMBL1161936,240.0
CHEMBL120563,44668.36
CHEMBL51085,68900.0
CHEMBL1188627,500.0
CHEMBL4303331,3660.0
CHEMBL1256832,12589.25
CHEMBL510038,0.7
CHEMBL964,3900.0
CHEMBL1474701,240.0
CHEMBL1408862,20000.0
CHEMBL929,10000.0
CHEMBL4303595,40.0
CHEMBL444478,7800.0
CHEMBL571700,1000000.0
CHEMBL472940,130.0
CHEMBL1374426,20000.0
CHEMBL518800,130.0
CHEMBL596674,4000.0
CHEMBL164,2000.0
CHEMBL270299,100.0
CHEMBL4303312,330.0
CHEMBL188434,0.5
CHEMBL4303618,4950.0
CHEMBL128251,2250.0
CHEMBL4303361,480.0
CHEMBL4303622,410.0
CHEMBL111654,92000.0
CHEMBL297453,730.0
CHEMBL508338,3162.0
CHEMBL9116,1330.0
CHEMBL1591074,120000.0
CHEMBL329522,10000.0
CHEMBL465704,5986.8
CHEMBL2107818,580.0
CHEMBL2068237,3820.0
CHEMBL8260,10000.0
CHEMBL2354521,2350.0
CHEMBL508280,108.0
CHEMBL1333953,798.9
CHEMBL1616,69.5
CHEMBL477197,440.0
CHEMBL1271993,450.0
CHEMBL1449651,2511.89
CHEMBL3545157,60.0
CHEMBL178459,210.0
CHEMBL1201073,1720.0
CHEMBL376488,2.5
CHEMBL154580,12589254117941714
CHEMBL354349,89242.0
CHEMBL1382627,750.0
CHEMBL4303664,880.0
CHEMBL1977761,1930.0
